tweet_translated_tokenized,sentiment,NB_Negativo,NB_Neutral,NB_Positivo,SVM_Negativo,SVM_Neutral,SVM_Positivo,DF_Negativo,DF_Neutral,DF_Positivo,MaxEnt_Negativo,MaxEnt_Neutral,MaxEnt_Positivo
"['hiding', 'communist', 'deals', 'chunks', 'yes', 'saw', 'ex', 'anything', 'swear']",Neutral,0.07103709617488768,0.8718660187633253,0.057096885061788075,0.05268279775287852,0.7868848247238228,0.16043237752329853,0.0,1.0,0.0,0.07860891617407084,0.8521562345015647,0.06923484932436436
"['crinshboi', 'spinoff', 'rohan', 'live', 'action']",Neutral,0.07679619421694008,0.8692858224293438,0.05391798335371786,0.06437116830533918,0.8532963507591915,0.08233248093546944,0.0,1.0,0.0,0.08555018127811674,0.8538777558704961,0.060572062851387075
['talk'],Neutral,0.08770067770270792,0.8580681741326952,0.054231148164596746,0.07057192794201067,0.8927584246562461,0.03666964740174308,0.0,1.0,0.0,0.07452504640645267,0.8807088876714076,0.04476606592213976
"['open', 'break', 'sanchez', 'cabinet', 'leave', 'pp', 'going', 'lead', 'opposition', 'already', 'venezuela', 'europe', 'mud', 'included', 'everything']",Neutral,0.045360419919731734,0.9312595767781516,0.023380003302116856,0.04474114726317515,0.939076823383597,0.01618202935322761,0.0,1.0,0.0,0.05963021365528786,0.9081762556798803,0.03219353066483189
"['also', 'sang', 'gotta', 'feeling', 'omg', 'cringe', 'always', 'produced', 'song', 'reason']",Neutral,0.0748298746203777,0.8737746284613492,0.051395496918274726,0.08759390399427296,0.8371954955936156,0.07521060041211126,1.0,0.0,0.0,0.08724709045647605,0.8511251188184137,0.06162779072511034
"['fuck', 'around', 'sing', 'yesterday', 'violet', 'hill', 'want', 'way', 'even', 'hit', 'teacher', 'wanted', 'us', 'dramatize', 'madonna', 'music', 'video', 'book', 'asks', 'ended', 'singing', 'whatever', 'wanted', 'even', 'remember', 'sang', 'time']",Neutral,0.03420183907479702,0.9514225581334516,0.014375602791754838,0.1172209570255806,0.8656536808601129,0.01712536211430624,0.0,1.0,0.0,0.07275359057120338,0.8936573275057269,0.033589081923069586
"['great', 'challenges', 'science', 'st', 'century', 'find', 'cure', 'cancer', 'aids', 'math', 'problems', 'millennium', 'unify', 'quantum', 'physics', 'relativistic', 'physics', 'get', 'windows', 'mode']",Neutral,0.08546688001819303,0.8643226149781464,0.05021050500366128,0.10110834627268103,0.864691510947522,0.034200142779797174,0.0,1.0,0.0,0.07080317774558677,0.8883501938899926,0.04084662836442066
"['deneyberlara', 'saw', 'incredibles', 'black', 'panther', 'spankbang']",Neutral,0.09256517982586546,0.8493717861845081,0.05806303398962535,0.04140397407941706,0.9315742147660944,0.027021811154488568,0.0,1.0,0.0,0.06605478748465887,0.8935163968556873,0.04042881565965396
"['damn', 'neanderthal', 'microsoft', 'said', 'good', 'idea', 'compete', 'chrome', 'os', 'making', 'version', 'shutting', 'entire', 'system', 'empty', 'burned', 'microsoft', 'store', 'steve', 'balmer', '—arturo', 'canga', 'newly', 'admitted', 'microsoft', 'student', 'partner', 'program']",Neutral,0.05101656307994362,0.9168186464548922,0.032164790465167674,0.04418823739289186,0.9268296301930042,0.02898213241410412,0.0,1.0,0.0,0.05655770630095322,0.9074384477537378,0.0360038459453089
"['untalsiso', 'ugly', 'wave', 'yes', 'laughs', 'well', 'give', 'retro']",Positivo,0.05402944886182748,0.9094033991318556,0.03656715200631669,0.08038446152420647,0.7416487867677626,0.17796675170803106,0.0,1.0,0.0,0.08994434837266117,0.8364732418002343,0.07358240982710455
